date,side,subregime,break_bar,gap_out,fwd_bars,wall_us,ratio,rv,drift_norm,cum_fwd_pct
2025-11-20,put,violent,10,False,15,6618.812928141235,10.028504436577629,0.000269793986663051,0.6534598861114165,-1.073334441941677
2026-01-20,put,violent,16,False,9,6831.913574780838,10.04693172761888,2.9695861493920603e-05,0.3819806797314522,-0.2081562051071538
2026-02-05,put,violent,2,False,23,6825.188158554943,10.037041409639622,0.00012715139062603146,-0.08744809452958494,0.09860771789361872
2026-02-12,put,violent,7,False,18,6874.231949153786,10.035375108253703,8.867041864145605e-05,0.3591488579170487,-0.33819241982507026
2026-03-03,put,violent,0,True,25,6767.065247747417,10.025281848514691,7.503625578531568e-05,-1.2368435658807466,1.0713968169289616
2026-03-06,put,violent,0,True,25,6813.6529938427675,10.020077932121717,5.604384868021168e-05,-0.31001413594475613,0.23208414537989444
2026-03-19,put,violent,0,True,25,6619.305850257655,10.029251288269174,0.00010037130087283413,-0.40133123770252527,0.4020756205619955
2026-03-20,put,violent,19,False,6,6535.578272198837,10.054735803382826,5.5366936351306365e-05,0.16466631566892873,-0.12252649635483674
2026-03-27,put,violent,1,False,24,6430.5824094371455,10.04778501474554,3.475167272939337e-05,1.3077808198525422,-0.7709439780709268
2026-06-05,put,narrow,21,False,4,7417.859128194699,10.024133957019863,6.133487076686964e-05,0.2877693500413453,-0.22537112010795976
2026-06-09,put,violent,7,False,18,7366.454107591073,10.022386540940236,0.00022140238384210444,-0.5531179551092974,0.8230171837252813
2026-06-10,put,violent,5,False,20,7368.338778379721,10.024950718883973,7.942556163005036e-05,1.1045467157506907,-0.9843832967990549
